Time Stamp;Power Supply 1 Power;Voltage, V;Power Output(x10), W
Jan-24-2024 12:37:14.096 PM;29,9611436288;242,0830230713;299,611436288
Jan-24-2024 12:37:14.206 PM;29,9611436288;242,0830230713;299,611436288
Jan-24-2024 12:37:14.315 PM;29,9611436288;242,0830230713;299,611436288
Jan-24-2024 12:37:14.424 PM;29,9611436288;242,0830230713;299,611436288
Jan-24-2024 12:37:14.532 PM;29,4406495559;242,8492126465;294,406495559
Jan-24-2024 12:37:14.642 PM;29,4406495559;242,8492126465;294,406495559
Jan-24-2024 12:37:14.749 PM;29,4406495559;242,8492126465;294,406495559
Jan-24-2024 12:37:14.857 PM;29,4406495559;242,8492126465;294,406495559
Jan-24-2024 12:37:14.966 PM;29,4406495559;242,8492126465;294,406495559
Jan-24-2024 12:37:15.076 PM;29,7671988197;243,5847473145;297,671988197
Jan-24-2024 12:37:15.187 PM;29,7671988197;243,5847473145;297,671988197
Jan-24-2024 12:37:15.297 PM;29,7671988197;243,5847473145;297,671988197
Jan-24-2024 12:37:15.404 PM;29,7671988197;243,5847473145;297,671988197
Jan-24-2024 12:37:15.513 PM;29,7671988197;243,5847473145;297,671988197
Jan-24-2024 12:37:15.624 PM;29,7671988197;243,5847473145;297,671988197
Jan-24-2024 12:37:15.736 PM;29,7671988197;243,5847473145;297,671988197
Jan-24-2024 12:37:15.845 PM;29,7671988197;243,5847473145;297,671988197
Jan-24-2024 12:37:15.956 PM;30,1639072791;244,1057434082;301,639072791
Jan-24-2024 12:37:16.064 PM;30,1639072791;244,1057434082;301,639072791
Jan-24-2024 12:37:16.175 PM;30,1639072791;244,1057434082;301,639072791
Jan-24-2024 12:37:16.271 PM;30,4093727719;244,9332275391;304,093727719
Jan-24-2024 12:37:16.394 PM;30,4093727719;244,9332275391;304,093727719
Jan-24-2024 12:37:16.504 PM;30,4093727719;244,9332275391;304,093727719
Jan-24-2024 12:37:16.613 PM;30,4093727719;244,9332275391;304,093727719
Jan-24-2024 12:37:16.722 PM;30,4093727719;244,9332275391;304,093727719
Jan-24-2024 12:37:16.834 PM;30,4093727719;244,9332275391;304,093727719
Jan-24-2024 12:37:16.956 PM;30,4093727719;244,9332275391;304,093727719
Jan-24-2024 12:37:17.066 PM;29,9186434118;245,6074676514;299,186434118
Jan-24-2024 12:37:17.174 PM;29,9186434118;245,6074676514;299,186434118
Jan-24-2024 12:37:17.285 PM;29,9186434118;245,6074676514;299,186434118
Jan-24-2024 12:37:17.391 PM;29,9186434118;245,6074676514;299,186434118
Jan-24-2024 12:37:17.500 PM;30,0599948356;246,3736419678;300,599948356
Jan-24-2024 12:37:17.611 PM;30,0599948356;246,3736419678;300,599948356
Jan-24-2024 12:37:17.719 PM;30,0599948356;246,3736419678;300,599948356
Jan-24-2024 12:37:17.829 PM;30,0599948356;246,3736419678;300,599948356
Jan-24-2024 12:37:17.938 PM;30,0599948356;246,3736419678;300,599948356
Jan-24-2024 12:37:18.047 PM;30,0599948356;246,3736419678;300,599948356
Jan-24-2024 12:37:18.157 PM;30,0599948356;246,3736419678;300,599948356
Jan-24-2024 12:37:18.265 PM;30,0599948356;246,3736419678;300,599948356
Jan-24-2024 12:37:18.377 PM;30,3009931669;246,772064209;303,009931669
Jan-24-2024 12:37:18.485 PM;30,3009931669;246,772064209;303,009931669
Jan-24-2024 12:37:18.595 PM;30,3009931669;246,772064209;303,009931669
Jan-24-2024 12:37:18.705 PM;30,3009931669;246,772064209;303,009931669
Jan-24-2024 12:37:18.817 PM;30,3009931669;246,772064209;303,009931669
Jan-24-2024 12:37:18.924 PM;29,5529176172;247,3543548584;295,529176172
Jan-24-2024 12:37:19.032 PM;29,5529176172;247,3543548584;295,529176172
Jan-24-2024 12:37:19.142 PM;29,5529176172;247,3543548584;295,529176172
Jan-24-2024 12:37:19.252 PM;29,5529176172;247,3543548584;295,529176172
Jan-24-2024 12:37:19.361 PM;29,3881332233;247,9979553223;293,881332233
Jan-24-2024 12:37:19.469 PM;29,3881332233;247,9979553223;293,881332233
Jan-24-2024 12:37:19.578 PM;29,3881332233;247,9979553223;293,881332233
Jan-24-2024 12:37:19.688 PM;29,3881332233;247,9979553223;293,881332233
Jan-24-2024 12:37:19.797 PM;29,3881332233;247,9979553223;293,881332233
Jan-24-2024 12:37:19.906 PM;29,3881332233;247,9979553223;293,881332233
Jan-24-2024 12:37:20.018 PM;29,3881332233;247,9979553223;293,881332233
Jan-24-2024 12:37:20.126 PM;29,4208180587;248,2737731934;294,208180587
Jan-24-2024 12:37:20.235 PM;29,4208180587;248,2737731934;294,208180587
Jan-24-2024 12:37:20.345 PM;29,4208180587;248,2737731934;294,208180587
Jan-24-2024 12:37:20.456 PM;29,4208180587;248,2737731934;294,208180587
Jan-24-2024 12:37:20.562 PM;29,4208180587;248,2737731934;294,208180587
Jan-24-2024 12:37:20.670 PM;29,4208180587;248,2737731934;294,208180587
Jan-24-2024 12:37:20.780 PM;29,4208180587;248,2737731934;294,208180587
Jan-24-2024 12:37:20.889 PM;29,8931788302;248,5802459717;298,931788302
Jan-24-2024 12:37:21.001 PM;29,8931788302;248,5802459717;298,931788302
Jan-24-2024 12:37:21.106 PM;29,8931788302;248,5802459717;298,931788302
Jan-24-2024 12:37:21.216 PM;29,8931788302;248,5802459717;298,931788302
Jan-24-2024 12:37:21.325 PM;29,8931788302;248,5802459717;298,931788302
Jan-24-2024 12:37:21.433 PM;29,391764068;248,0285949707;293,91764068
Jan-24-2024 12:37:21.542 PM;29,391764068;248,0285949707;293,91764068
Jan-24-2024 12:37:21.650 PM;29,391764068;248,0285949707;293,91764068
Jan-24-2024 12:37:21.758 PM;29,391764068;248,0285949707;293,91764068
Jan-24-2024 12:37:21.874 PM;29,391764068;248,0285949707;293,91764068
Jan-24-2024 12:37:21.977 PM;29,391764068;248,0285949707;293,91764068
Jan-24-2024 12:37:22.088 PM;29,4691192542;244,6573944092;294,691192542
Jan-24-2024 12:37:22.198 PM;29,4691192542;244,6573944092;294,691192542
Jan-24-2024 12:37:22.309 PM;29,4691192542;244,6573944092;294,691192542
Jan-24-2024 12:37:22.416 PM;29,4691192542;244,6573944092;294,691192542
Jan-24-2024 12:37:22.525 PM;29,4691192542;244,6573944092;294,691192542
Jan-24-2024 12:37:22.635 PM;30,4550320667;242,6346740723;304,550320667
Jan-24-2024 12:37:22.745 PM;30,4550320667;242,6346740723;304,550320667
Jan-24-2024 12:37:22.857 PM;30,4550320667;242,6346740723;304,550320667
Jan-24-2024 12:37:22.967 PM;30,4550320667;242,6346740723;304,550320667
Jan-24-2024 12:37:23.078 PM;30,4550320667;242,6346740723;304,550320667
Jan-24-2024 12:37:23.183 PM;30,4550320667;242,6346740723;304,550320667
Jan-24-2024 12:37:23.293 PM;29,8440897033;241,8991394043;298,440897033
Jan-24-2024 12:37:23.401 PM;29,8440897033;241,8991394043;298,440897033
Jan-24-2024 12:37:23.512 PM;29,8440897033;241,8991394043;298,440897033
Jan-24-2024 12:37:23.621 PM;29,8440897033;241,8991394043;298,440897033
Jan-24-2024 12:37:23.730 PM;29,8440897033;241,8991394043;298,440897033
Jan-24-2024 12:37:23.840 PM;29,8440897033;241,8991394043;298,440897033
Jan-24-2024 12:37:23.951 PM;29,6758775613;242,4507904053;296,758775613
Jan-24-2024 12:37:24.058 PM;29,6758775613;242,4507904053;296,758775613
Jan-24-2024 12:37:24.168 PM;29,6758775613;242,4507904053;296,758775613
Jan-24-2024 12:37:24.278 PM;29,6758775613;242,4507904053;296,758775613
Jan-24-2024 12:37:24.388 PM;29,6758775613;242,4507904053;296,758775613
Jan-24-2024 12:37:24.497 PM;30,0218014261;243,3395690918;300,218014261
Jan-24-2024 12:37:24.607 PM;30,0218014261;243,3395690918;300,218014261
Jan-24-2024 12:37:24.716 PM;30,0218014261;243,3395690918;300,218014261
Jan-24-2024 12:37:24.826 PM;30,0218014261;243,3395690918;300,218014261
Jan-24-2024 12:37:24.934 PM;30,0218014261;243,3395690918;300,218014261
Jan-24-2024 12:37:25.044 PM;30,0218014261;243,3395690918;300,218014261
Jan-24-2024 12:37:25.154 PM;29,6405569487;244,1057434082;296,405569487
Jan-24-2024 12:37:25.263 PM;29,6405569487;244,1057434082;296,405569487
Jan-24-2024 12:37:25.371 PM;29,6405569487;244,1057434082;296,405569487
Jan-24-2024 12:37:25.493 PM;29,6405569487;244,1057434082;296,405569487
Jan-24-2024 12:37:25.599 PM;29,6405569487;244,1057434082;296,405569487
Jan-24-2024 12:37:25.709 PM;29,6405569487;244,1057434082;296,405569487
Jan-24-2024 12:37:25.820 PM;29,6405569487;244,1057434082;296,405569487
Jan-24-2024 12:37:25.928 PM;30,0965560655;244,7186889648;300,965560655
Jan-24-2024 12:37:26.036 PM;30,0965560655;244,7186889648;300,965560655
Jan-24-2024 12:37:26.147 PM;30,0965560655;244,7186889648;300,965560655
Jan-24-2024 12:37:26.257 PM;30,0965560655;244,7186889648;300,965560655
Jan-24-2024 12:37:26.365 PM;29,6018452973;245,3622894287;296,018452973
Jan-24-2024 12:37:26.475 PM;29,6018452973;245,3622894287;296,018452973
Jan-24-2024 12:37:26.583 PM;29,6018452973;245,3622894287;296,018452973
Jan-24-2024 12:37:26.694 PM;29,6018452973;245,3622894287;296,018452973
Jan-24-2024 12:37:26.816 PM;29,6018452973;245,3622894287;296,018452973
Jan-24-2024 12:37:26.941 PM;29,6018452973;245,3622894287;296,018452973
Jan-24-2024 12:37:27.050 PM;29,6018452973;245,3622894287;296,018452973
Jan-24-2024 12:37:27.159 PM;30,1664811052;246,0671691895;301,664811052
Jan-24-2024 12:37:27.266 PM;30,1664811052;246,0671691895;301,664811052
Jan-24-2024 12:37:27.375 PM;30,1664811052;246,0671691895;301,664811052
Jan-24-2024 12:37:27.485 PM;29,5464764919;246,4962310791;295,464764919
Jan-24-2024 12:37:27.593 PM;29,5464764919;246,4962310791;295,464764919
Jan-24-2024 12:37:27.701 PM;29,5464764919;246,4962310791;295,464764919
Jan-24-2024 12:37:27.811 PM;29,5464764919;246,4962310791;295,464764919
Jan-24-2024 12:37:27.920 PM;29,5464764919;246,4962310791;295,464764919
Jan-24-2024 12:37:28.044 PM;29,5464764919;246,4962310791;295,464764919
Jan-24-2024 12:37:28.143 PM;29,5464764919;246,4962310791;295,464764919
Jan-24-2024 12:37:28.250 PM;29,5464764919;246,4962310791;295,464764919
Jan-24-2024 12:37:28.359 PM;29,4272998266;247,1091766357;294,272998266
Jan-24-2024 12:37:28.471 PM;29,4272998266;247,1091766357;294,272998266
Jan-24-2024 12:37:28.581 PM;29,4272998266;247,1091766357;294,272998266
Jan-24-2024 12:37:28.690 PM;29,4272998266;247,1091766357;294,272998266
Jan-24-2024 12:37:28.800 PM;29,4272998266;247,1091766357;294,272998266
